date,eurusd,usdjpy,gbpusd,nzdusd,gbpjpy,eurgbp,eurcad,eursek,eurchf,eurhuf,usdcny,usdhkd,usdsgd,usdinr,usdmxn,usdphp,usdidr,usdthb,usdmyr,usdzar,usdrub
2009-07-08,1.387905836105347,92.77200317382812,1.605909824371338,0.626056432723999,148.88499450683594,0.8646000027656555,1.6187000274658203,11.055899620056152,1.5132999420166016,278.17999267578125,6.823699951171875,7.750500202178955,1.4630000591278076,48.83700180053711,13.528499603271484,48.130001068115234,10297.0,33.83300018310547,3.5536999702453613,8.170900344848633,31.84550094604492
2009-07-09,1.4027999639511108,93.04000091552734,1.6343073844909668,0.6331918835639954,152.02999877929688,0.8580999970436096,1.6277999877929688,10.979999542236328,1.5120999813079834,274.67999267578125,6.823400020599365,7.75,1.4575999975204468,48.69300079345703,13.53849983215332,48.130001068115234,10187.0,34.01300048828125,3.561300039291382,8.111000061035156,31.78009986877441
2009-07-10,1.3933980464935305,92.52999877929688,1.62179696559906,0.6279040575027466,150.0399932861328,0.859499990940094,1.6204999685287476,11.051400184631348,1.51419997215271,276.04998779296875,6.822700023651123,7.750100135803223,1.462499976158142,48.87099838256836,13.663999557495115,48.130001068115234,10035.0,34.00699996948242,3.573199987411499,8.21500015258789,32.601200103759766
2009-07-13,1.399012327194214,93.02200317382812,1.6254082918167114,0.6343969702720642,151.16900634765625,0.8604999780654907,1.6090999841690063,11.01159954071045,1.5134999752044678,276.32000732421875,6.823400020599365,7.750100135803223,1.460199952125549,49.32500076293945,13.705699920654297,48.04999923706055,10125.0,34.0099983215332,3.595000028610229,8.230199813842773,32.67770004272461
2009-07-14,1.3971552848815918,93.4209976196289,1.6319869756698608,0.6399999856948853,152.42999267578125,0.8560000061988831,1.5835000276565552,10.991900444030762,1.521299958229065,274.6300048828125,6.82289981842041,7.75,1.4585000276565552,48.74800109863281,13.72700023651123,48.040000915527344,10184.9501953125,33.9900016784668,3.5841000080108643,8.241201400756836,32.26359939575195
2009-07-15,1.4101985692977903,94.177001953125,1.6431963443756104,0.6490135192871094,154.72900390625,0.8579999804496765,1.573300004005432,10.949000358581545,1.5156999826431274,272.4599914550781,6.822500228881836,7.749599933624268,1.4519000053405762,48.28900146484375,13.540200233459473,47.84999847412109,10048.0,33.95000076293945,3.563699960708618,8.096199989318848,31.83300018310547
2009-07-16,1.414107084274292,93.7760009765625,1.641604781150818,0.6474168300628662,153.91400146484375,0.861299991607666,1.579699993133545,11.017200469970703,1.5180000066757202,274.239990234375,6.821499824523926,7.74970006942749,1.452299952507019,48.47100067138672,13.543100357055664,47.970001220703125,9990.0,33.82500076293945,3.5627999305725098,8.058300018310547,31.576000213623047
2009-07-17,1.410496950149536,94.20999908447266,1.633212924003601,0.6447868943214417,154.02000427246094,0.8623999953269958,1.569700002670288,11.001299858093262,1.518100023269653,274.75,6.821300029754639,7.74970006942749,1.4507999420166016,48.63600158691406,13.366000175476074,47.84000015258789,10045.0,34.04100036621094,3.5666000843048096,8.03499984741211,31.778499603271484
2009-07-20,1.421181321144104,94.13999938964844,1.6524555683135986,0.6569870710372925,155.5399932861328,0.8600000143051147,1.573199987411499,10.95989990234375,1.5191999673843384,272.25,6.822700023651123,7.749899864196777,1.439900040626526,48.16899871826172,13.293700218200684,47.72999954223633,10150.0,33.965999603271484,3.5387001037597656,7.848999977111816,31.02549934387207
2009-07-21,1.419849514961243,93.53299713134766,1.6420092582702637,0.6565126180648804,153.53599548339844,0.864799976348877,1.5702999830245972,10.825900077819824,1.5162999629974363,272.25,6.821700096130371,7.749800205230713,1.4422999620437622,48.354000091552734,13.305999755859377,47.72999954223633,9990.7998046875,33.792999267578125,3.5385000705718994,7.785699844360352,30.999500274658203
